Most Mentioned Industries
113 documents  for All Dates

Industry,Document Count
Gas Utilities,13
Vegetarian Food Products,8
Farming,5
Livestock Farming,5
Fracking Services,4
Alternative Fuel Vehicles,3
Waste Management/Recycling Services,3
Environment/Waste Management,3
Dairy Cattle Farming,2
Sheep/Goat Farming,2
Cement/Ready-mix Concrete,2
Clothing,2
Clothing/Textiles,2
Oil,2
Agriculture,1
Cattle Farming,1
Forestry/Logging,1
Energy,1
Oil/Gas Upstream Operations,1
Oil/Gas Downstream Operations,1
Nuclear Power Generation,1
Dairy Products,1
Healthcare/Life Sciences,1
Business Schools,1
Automotive,1
Business/Consumer Services,1
Banking/Credit,1
Carbon Capture/Storage,1
Chocolate/Confectionery,1


Search Summary,
Text,"la=en and date after 20220630 AND date before 20250701 and wc>250 and rst=USA not (update or Briefing or summary or letters or correction* or Daybook or ""market talk"" or ""roundup"" or ""press release"" or ""results announcement"" or shortage) and (ns=GCLIMT and ((climate /n2/ chang*) or (climate /n2/ crisis) or (climate /n2/ impact) or ""global warming"" or ((atleast2 climate or atleast2 warming or atleast2 environment*) or hlp=carbon (neutrality or capture or emissions) or atleast2 greenhouse$ or atleast3 decarboni*))) and (((meat or dairy or livestock or cow or cows or cattle or beef or sheep or lamb or chicken or hog* or pig* or pork) near3 (rais* or consum* or eat* or methane or carbon or CO2 or emissions)) or (atleast3 meat or atleast3 dairy or atleast3 livestock or atleast3 cow or atleast3 cows or atleast3 cattle or atleast3 beef or atleast3 sheep or atleast3 lamb or atleast3 chicken or atleast3 poultry or atleast3 hog or atleast3 hogs or atleast3 pig or atleast3 pigs or atleast3 pork) or ((meat near2 industr*) or (livestock near2 industr*)) or (""animal agriculture"" or ""factory farm*""))
and ((((diet* or consum* or “eat less” or “eating less” or “eat more” or “eating more”) near7 (meat or livestock or beef or plant-based or veg* or flexitarian or seafood or pescatarian or fish)) or (atleast2 vegan* or atleast2 vegetarian*)) and (climate or sustainab* or environment*))"
Date,All Dates
Source,"ABC Network - All sources Or American Banker - All sources Or BBC - All sources Or The Baltimore Sun Or Barron's - All sources Or Bernews Or Business Insider - All sources Or CNBC Network - All sources Or CNN - All sources Or Chicago Tribune - All sources Or Denver Post - All sources Or The Detroit Free Press Or Dow Jones Newswires Or Forbes - All sources Or Fox News - All sources Or MSNBC Network - All sources Or MarketLine - All sources Or Milwaukee Journal Sentinel Or New York Daily News (New York City) Or New York Post (U.S.) Or Newsweek - All sources Or Orlando Sentinel (Florida, U.S.) Or Pittsburgh Post-Gazette - All sources Or South Florida Sun-Sentinel (U.S.) Or St. Louis Post-Dispatch Or Star-Tribune (Minneapolis-St. Paul) Or Tampa Bay Times (Florida, U.S.) Or The Arizona Republic (Phoenix) Or The Atlanta Journal - Constitution Or The Atlantic (U.S.) Or The Boston Globe - All sources Or The Christian Science Monitor (U.S.) Or The Christian Science Monitor (U.S.) Or The Enquirer (Cincinnati) Or The Hartford Courant (Connecticut, U.S.) Or The Indianapolis Star Or The New York Times - All sources Or New Yorker Or The Tennessean (Nashville, U.S.) Or The Wall Street Journal - All sources Or USA Today - All sources Or Washington Post - All sources"
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,All Regions
Language,All Languages
Results Found,113
Timestamp,22 September 2025 19:28
"© 2025 Factiva, Inc.  All rights reserved."
