Most Mentioned Industries
109 documents  for All Dates

Industry,Document Count
Gas Utilities,13
Livestock Farming,6
Farming,5
Fracking Services,4
Vegetarian Food Products,4
Alternative Fuel Vehicles,3
Waste Management/Recycling Services,3
Environment/Waste Management,3
Agriculture,2
Dairy Cattle Farming,2
Sheep/Goat Farming,2
Cement/Ready-mix Concrete,2
Clothing,2
Clothing/Textiles,2
Oil,2
Cattle Farming,1
Forestry/Logging,1
Energy,1
Oil/Gas Upstream Operations,1
Oil/Gas Downstream Operations,1
Nuclear Power Generation,1
Food/Beverages,1
Dairy Products,1
Healthcare/Life Sciences,1
Business Schools,1
Automotive,1
Business/Consumer Services,1
Banking/Credit,1
Consumer Goods,1
Chocolate/Confectionery,1
Food Products,1


Search Summary,
Text,"la=en and date after 20220630 AND date before 20250801 and wc>250 and rst=USA and rst=tmnbus not (update or Briefing or summary or letters or correction* or Daybook or ""market talk"" or ""roundup"" or ""press release"" or ""results announcement"" or shortage) and (ns=GCLIMT and ((climate /n2/ chang*) or (climate /n2/ crisis) or (climate /n2/ impact) or ""global warming"" or ((atleast2 climate or atleast2 warming or atleast2 environment*) or hlp=carbon (neutrality or capture or emissions) or atleast2 greenhouse$ or atleast3 decarboni*))) and (((meat or dairy or livestock or cow or cows or cattle or beef or sheep or lamb or chicken or hog* or pig* or pork) near3 (rais* or consum* or eat* or methane or carbon or CO2 or emissions)) or (atleast3 meat or atleast3 dairy or atleast3 livestock or atleast3 cow or atleast3 cows or atleast3 cattle or atleast3 beef or atleast3 sheep or atleast3 lamb or atleast3 chicken or atleast3 poultry or atleast3 hog or atleast3 hogs or atleast3 pig or atleast3 pigs or atleast3 pork) or ((meat near2 industr*) or (livestock near2 industr*)) or (""animal agriculture"" or ""factory farm*"")) and ((((diet* or consum* or “eat less” or “eating less” or “eat more” or “eating more”) near7 (meat or livestock or beef or plant-based or veg* or flexitarian or seafood or pescatarian or fish)) or (atleast2 vegan* or atleast2 vegetarian*)) and (climate or sustainab* or environment*))"
Date,All Dates
Source,All Sources
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,All Regions
Language,All Languages
Results Found,110
Timestamp,4 October 2025 18:03
"© 2025 Factiva, Inc.  All rights reserved."
