Most Mentioned Companies
150 documents  for All Dates

Company,Document Count
United Nations,7
Intergovernmental Panel on Climate Change,6
Colorado State University,2
European Union,2
U.S. Fish and Wildlife Service,2
Fox Corporation,2
ifo Institute,2
Physicians Committee for Responsible Medicine,2
United Kingdom Parliament,2
University of Zurich,2
Union of Concerned Scientists,2
"University of California, Davis",2
World Resources Institute,2
Origin Energy Ltd,1
Danone SA,1
City of Edinburgh Council,1
Center for Biological Diversity,1
Morgan Stanley,1
North Atlantic Treaty Organization,1
Australian Energy Market Operator Limited,1
The Nature Conservancy,1
Net-Zero Banking Alliance,1
Royal Society for the Protection of Birds,1
Supreme Court of the United States,1
University of Gothenburg,1
United Nations International Children's Emergency Fund,1
University of Utah,1
World Economic Forum,1
Yale University,1


Search Summary,
Text,"la=en and date after 20210801 AND date before 20250731 and wc>250 and rst=USA and sn=(ABC Network or American Banker or BBC or Baltimore Sun or Barron's or Bernews or Business Insider or CNBC Network or CNN or Chicago Tribune or Denver Post or Detroit Free Press or Dow Jones Newswires or Forbes or Fox News or MSNBC Network or MarketWatch or Milwaukee Journal Sentinel or New York Daily News or New York Post or Newsweek or Orlando Sentinel or Pittsburgh Post-Gazette or South Florida Sun-Sentinel or St. Louis Post-Dispatch or Star-Tribune or Tampa Bay Times or The Arizona Republic or The Atlanta Journal-Constitution or The Atlantic or The Boston Globe or The Christian Science Monitor or The Enquirer or The Hartford Courant or The Indianapolis Star or The New York Times or The New Yorker or The Tennessean or The Wall Street Journal or USA Today or Washington Post) and (ns=GCLIMT and ((climate /n2/ chang*) or (climate /n2/ crisis) or (climate /n2/ impact) or ""global warming"" or ((atleast2 climate or atleast2 warming or atleast2 environment*) or hlp=carbon (neutrality or capture or emissions) or atleast2 greenhouse$ or atleast3 decarboni*))) not (update or Briefing or summary or letters or correction* or Daybook or ""market talk"" or ""roundup"" or ""press release"" or ""results announcement"" or shortage) and (((meat or dairy or livestock or cow or cows or cattle or beef or sheep or lamb or chicken or pork) near3 (consum* or eat* or methane or carbon or CO2 or emissions)) or ((meat near2 industr*) or (livestock near2 industr*)) or (""animal agriculture"" or ""factory farm*"")) and ((((diet* or consum* or “eat less” or “eating less” or “eat more” or “eating more”) near7 (meat or livestock or beef or plant-based or veg* or flexitarian or seafood or pescatarian or fish)) or (atleast2 vegan* or atleast2 vegetarian*)) and (climate or sustainab* or environment*))"
Date,All Dates
Source,All Sources
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,All Regions
Language,All Languages
Results Found,150
Timestamp,28 August 2025 16:21
"© 2025 Factiva, Inc.  All rights reserved."
