Most Mentioned Industries
150 documents  for All Dates

Industry,Document Count
Vegetarian Food Products,8
Livestock Farming,6
Waste Management/Recycling Services,3
Environment/Waste Management,3
Agriculture,2
Cattle Farming,2
Dairy Cattle Farming,2
Sheep/Goat Farming,2
Alternative Fuel Vehicles,2
Food/Beverages,2
Pet Food,2
Clothing,2
Automotive,2
Clothing/Textiles,2
Consumer Goods,2
Fracking Services,2
Oil,2
Farming,1
Energy,1
Nuclear Power Generation,1
Renewable Energy Generation,1
Cement/Ready-mix Concrete,1
Semiconductors,1
Passenger Cars,1
Dairy Products,1
Business/Consumer Services,1
Banking/Credit,1
Chocolate/Confectionery,1
Food Products,1


Search Summary,
Text,"la=en and date after 20210801 AND date before 20250731 and wc>250 and rst=USA and sn=(ABC Network or American Banker or BBC or Baltimore Sun or Barron's or Bernews or Business Insider or CNBC Network or CNN or Chicago Tribune or Denver Post or Detroit Free Press or Dow Jones Newswires or Forbes or Fox News or MSNBC Network or MarketWatch or Milwaukee Journal Sentinel or New York Daily News or New York Post or Newsweek or Orlando Sentinel or Pittsburgh Post-Gazette or South Florida Sun-Sentinel or St. Louis Post-Dispatch or Star-Tribune or Tampa Bay Times or The Arizona Republic or The Atlanta Journal-Constitution or The Atlantic or The Boston Globe or The Christian Science Monitor or The Enquirer or The Hartford Courant or The Indianapolis Star or The New York Times or The New Yorker or The Tennessean or The Wall Street Journal or USA Today or Washington Post) and (ns=GCLIMT and ((climate /n2/ chang*) or (climate /n2/ crisis) or (climate /n2/ impact) or ""global warming"" or ((atleast2 climate or atleast2 warming or atleast2 environment*) or hlp=carbon (neutrality or capture or emissions) or atleast2 greenhouse$ or atleast3 decarboni*))) not (update or Briefing or summary or letters or correction* or Daybook or ""market talk"" or ""roundup"" or ""press release"" or ""results announcement"" or shortage) and (((meat or dairy or livestock or cow or cows or cattle or beef or sheep or lamb or chicken or pork) near3 (consum* or eat* or methane or carbon or CO2 or emissions)) or ((meat near2 industr*) or (livestock near2 industr*)) or (""animal agriculture"" or ""factory farm*"")) and ((((diet* or consum* or “eat less” or “eating less” or “eat more” or “eating more”) near7 (meat or livestock or beef or plant-based or veg* or flexitarian or seafood or pescatarian or fish)) or (atleast2 vegan* or atleast2 vegetarian*)) and (climate or sustainab* or environment*))"
Date,All Dates
Source,All Sources
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,All Regions
Language,All Languages
Results Found,150
Timestamp,28 August 2025 16:21
"© 2025 Factiva, Inc.  All rights reserved."
