Most Mentioned Subjects
150 documents  for All Dates

Subject,Document Count
Climate Change,150
Natural Environment,58
Nutrition,31
Emissions,30
Political/General News,24
Air Pollution,23
Food/Drink,23
Sciences/Humanities,18
Living/Lifestyle,16
Domestic Politics,16
Commentaries/Opinions,15
Columns,12
Global/World Issues,8
Health,8
Environmental Pollution,8
Editorials,8
Corporate/Industrial News,7
Interviews,6
Regional Politics,5
Conferences/Exhibitions,4
Government Budget/Taxation,4
Environmental Protection,4
Advice,4
Transcripts,4
Corporate Environmental Responsibility,3
Market Research,3
International Relations,3
Outbreaks/Epidemics,3
Politics/International Relations,3
Urban/Rural Planning,3
University/College,3
Suggested Reading – Environment/Waste Management,3
Regulation/Government Policy,2
Research/Development,2
Direct Taxation,2
Economic News,2
Allergies,2
Cars,2
Cricket,2
Crime/Legal Action,2
Globalization,2
Medical Conditions,2
Smoking,2
Sustainable Development/Sustainability,2
Television/Radio,2
Elections,2
National/Presidential Elections (Discontinued from 12th November 2024),2
Marriage/Divorce,2
Surveys/Polls,2
Acquisitions/Mergers/Shareholdings,1
Output/Production,1
Capacity/Facilities,1
Natural Reserves/Resources Discovery,1
Economic Performance/Indicators,1
Economic Growth/Recession,1
Subnational Government Budget/Taxation,1
Charities/Volunteering,1
Chemistry,1
Armed Forces,1
Education,1
Arts/Entertainment,1
Fake News Phenomenon,1
Floods/Tidal Waves,1
Deforestation,1
Fraud,1
Same-Sex Marriage/Civil Union,1
Human Migration,1
LGBT Rights,1
Personal Finance,1
Poverty,1
Sex Crimes,1
Recipes,1
Religion,1
Risk News,1
Novel Coronaviruses,1
Espionage,1
Tax Fraud,1
Government Bodies (Discontinued from 10th January 2023),1
Environment Department (Discontinued from 10th January 2023),1
Executive Branch (Discontinued from 10th January 2023),1
Military Operations,1
Judicial Branch (Discontinued from 10th January 2023),1
War Crimes,1
Weather,1
Social Media,1
Welfare/Social Services,1
Whistleblowers,1
Content Types,1
Economic Predictions/Forecasts,1
Suggested Reading – Agriculture/Forestry,1
Suggested Reading – Automobiles,1
Risk Topics - Supply Chain,1


Search Summary,
Text,"la=en and date after 20210801 AND date before 20250731 and wc>250 and rst=USA and sn=(ABC Network or American Banker or BBC or Baltimore Sun or Barron's or Bernews or Business Insider or CNBC Network or CNN or Chicago Tribune or Denver Post or Detroit Free Press or Dow Jones Newswires or Forbes or Fox News or MSNBC Network or MarketWatch or Milwaukee Journal Sentinel or New York Daily News or New York Post or Newsweek or Orlando Sentinel or Pittsburgh Post-Gazette or South Florida Sun-Sentinel or St. Louis Post-Dispatch or Star-Tribune or Tampa Bay Times or The Arizona Republic or The Atlanta Journal-Constitution or The Atlantic or The Boston Globe or The Christian Science Monitor or The Enquirer or The Hartford Courant or The Indianapolis Star or The New York Times or The New Yorker or The Tennessean or The Wall Street Journal or USA Today or Washington Post) and (ns=GCLIMT and ((climate /n2/ chang*) or (climate /n2/ crisis) or (climate /n2/ impact) or ""global warming"" or ((atleast2 climate or atleast2 warming or atleast2 environment*) or hlp=carbon (neutrality or capture or emissions) or atleast2 greenhouse$ or atleast3 decarboni*))) not (update or Briefing or summary or letters or correction* or Daybook or ""market talk"" or ""roundup"" or ""press release"" or ""results announcement"" or shortage) and (((meat or dairy or livestock or cow or cows or cattle or beef or sheep or lamb or chicken or pork) near3 (consum* or eat* or methane or carbon or CO2 or emissions)) or ((meat near2 industr*) or (livestock near2 industr*)) or (""animal agriculture"" or ""factory farm*"")) and ((((diet* or consum* or “eat less” or “eating less” or “eat more” or “eating more”) near7 (meat or livestock or beef or plant-based or veg* or flexitarian or seafood or pescatarian or fish)) or (atleast2 vegan* or atleast2 vegetarian*)) and (climate or sustainab* or environment*))"
Date,All Dates
Source,All Sources
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,All Regions
Language,All Languages
Results Found,150
Timestamp,28 August 2025 16:21
"© 2025 Factiva, Inc.  All rights reserved."
