Most Mentioned Industries
13608 documents  for All Dates

Industry,Document Count
Energy,801
Alternative Fuel Vehicles,425
Oil,362
Electricity/Gas Utilities,350
Fossil Fuels,316
Banking/Credit,287
Automotive,266
Renewable Energy Generation,264
Oil/Gas,253
Carbon Capture/Storage,219
Fossil Fuel Power Generation,210
Passenger Cars,189
Insurance,179
Oil/Gas Upstream Operations,157
Financial Services,157
Electric Power Generation,152
Oil Extraction,138
Wind Energy,134
Investing/Securities,127
Utilities,127
Business/Consumer Services,126
Waste Management/Recycling Services,121
Environment/Waste Management,121
Natural Gas Extraction,113
Nuclear Power Generation,104
Healthcare/Life Sciences,97
Renewable Energy Equipment,97
Natural Gas,95
Mining/Quarrying,95
Solar Energy,95
Agriculture,93
Pharmaceuticals,83
Buildings/Contents Insurance,82
Technology,77
Transportation/Logistics,76
Chemicals,73
Consumer Goods,68
Banking,67
Sustainable Investment,66
Commercial Banking,65
Industrial Goods,61
Airlines,59
Farming,58
Computers/Consumer Electronics,58
Food/Beverages,54
Media/Entertainment,54
Artificial Intelligence Technologies,51
Coal Mining,50
Online Service Providers,49
Non-life Insurance,48
Coal,46
Fracking Services,46
Real Estate,44
Computer Hardware,43
Pipeline Transportation,41
Residential Building Construction,40
Primary Metals,37
Retail,36
Basic Materials/Resources,34
Real Estate/Construction,34
Electric Power Distribution,33
Power Station Construction,32
Private Banking/Wealth Management,32
Water Utilities,31
Catastrophe Insurance,31
Industrial Electronics,30
Construction,29
Hydropower Energy,28
Industrial Gases,28
Cement/Ready-mix Concrete,27
Retail/Wholesale,27
Financial Investment Services,26
Freight Transport/Logistics,26
Property/Casualty Insurance,24
Liquefied/Compressed Gas,23
Wine,23
Building Construction,23
Solar Panels,23
Aerospace/Defense,22
Passenger Airlines,20
Vaccines,19
Private Equity,19
Petroleum Refining,18
Marine Transport,18
Exchange Traded Funds,18
Waste-to-Energy Generation,18
Cattle Farming,17
Plastics Products,17
Oil/Gas Platform Construction,17
Biofuels,17
Oil/Gas Extraction,17
Geothermal Energy,17
Virtual Currencies/Cryptocurrencies,17
Oil Exploration,16
Fertilizers,16
Software,16
Industrial Building Construction,16
Transmission Line Construction,16
Specialty Retailing,16
Airports,16


Search Summary,
Text,"la=en and date after 20210801 AND date before 20250731 and wc>250 and rst=USA and sn=(ABC Network or American Banker or BBC or Baltimore Sun or Barron's or Bernews or Business Insider or CNBC Network or CNN or Chicago Tribune or Denver Post or Detroit Free Press or Dow Jones Newswires or Forbes or Fox News or MSNBC Network or MarketWatch or Milwaukee Journal Sentinel or New York Daily News or New York Post or Newsweek or Orlando Sentinel or Pittsburgh Post-Gazette or South Florida Sun-Sentinel or St. Louis Post-Dispatch or Star-Tribune or Tampa Bay Times or The Arizona Republic or The Atlanta Journal-Constitution or The Atlantic or The Boston Globe or The Christian Science Monitor or The Enquirer or The Hartford Courant or The Indianapolis Star or The New York Times or The New Yorker or The Tennessean or The Wall Street Journal or USA Today or Washington Post) and (ns=GCLIMT and ((climate /n2/ chang*) or (climate /n2/ crisis) or (climate /n2/ impact) or ""global warming"" or ((atleast2 climate or atleast2 warming or atleast2 environment*) or hlp=carbon (neutrality or capture or emissions) or atleast2 greenhouse$ or atleast3 decarboni*))) not (update or Briefing or summary or letters or correction* or Daybook or ""market talk"" or ""roundup"" or ""press release"" or ""results announcement"" or shortage)"
Date,All Dates
Source,All Sources
Author,All Authors
Company,All Companies
Subject,All Subjects
Industry,All Industries
Region,All Regions
Language,All Languages
Results Found,"13,608"
Timestamp,28 August 2025 16:19
"© 2025 Factiva, Inc.  All rights reserved."
